CPU,RAM,BINARY
0.12,21.85,0
0.26,21.84,0
0,21.84,0
0,21.84,0
0.27,21.85,0
0.19,21.85,0
0,21.85,0
0,21.85,0
0,21.85,0
0.32,21.87,0
0.08,21.87,0
0.37,21.87,0
0,21.87,0
0.25,21.88,0
0,21.88,0
0.29,21.88,0
0,21.88,0
0,21.89,0
25.17,21.9,0
0,21.9,0
0.65,21.86,0
0,21.86,0
0.27,21.86,0
0.35,21.86,0
0,21.86,0
0.08,21.86,0
1.66,21.86,0
0,21.86,0
0,21.86,0
0.08,21.87,0
0,21.87,0
0.64,21.88,0
0,21.89,0
0.34,21.89,0
0,21.89,0
0,21.96,0
0.12,21.96,0
0.08,21.98,0
0,21.99,0
0,21.99,0
0,21.99,0
0,22,0
1.21,22,0
0,22,0
0,21.95,0
0,21.96,0
1.69,21.96,0
0,21.96,0
0,21.96,0
0.17,21.96,0
0.03,21.95,0
0.29,21.95,0
24.96,21.95,0
0.03,21.95,0
0,21.95,0
0.77,21.96,0
0,21.96,0
0,21.96,0
1.28,21.96,0
0,21.96,0
0.27,21.97,0
0,21.97,0
0,21.97,0
1.09,21.97,0
0,21.97,0
0.19,21.97,0
0.31,21.97,0
0,21.98,0
0.71,21.95,0
0,21.92,0
49.94,21.87,0
75.25,22.06,0
74.78,35.33,0
100,66.76,0
100,92.18,0
100,96.66,0
100,96.64,0
100,96.6,0
100,96.59,0
100,96.59,0
100,96.59,0
100,96.59,0
100,96.32,0
100,96.35,0
100,96.35,0
100,96.35,0
100,96.36,0
100,96.37,0
100,96.38,0
100,96.38,0
100,96.39,0
100,96.39,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.35,0
100,96.35,0
100,96.36,0
100,96.36,0
100,96.36,0
100,96.37,0
100,96.33,0
100,96.33,0
100,96.33,0
100,96.33,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.34,0
100,96.35,0
100,96.35,0
100,96.35,0
100,96.35,0
100,96.35,0
100,96.35,0
100,96.35,0
100,96.35,0
100,96.35,0
100,96.36,0
100,96.36,0
100,96.36,0
100,96.33,0
100,96.33,0
100,96.33,0
100,96.34,0
100,96.34,0
100,96.35,0
100,96.38,0
100,96.43,0
100,96.54,0
100,96.55,0
100,96.79,0
100,96.86,0
100,95.79,0
100,95.79,0
100,95.79,0
100,95.8,0
100,95.8,0
100,95.86,0
100,95.88,0
100,95.94,0
100,95.98,0
100,96.14,0
100,96.33,0
100,96.36,0
100,96.39,0
100,96.47,0
100,96.54,0
100,96.67,0
100,96.67,0
100,96.68,0
100,96.69,0
100,96.7,0
100,96.72,0
100,96.72,0
100,96.74,0
100,96.75,0
100,96.77,0
100,96.78,0
100,96.79,0
100,96.81,0
100,96.82,0
100,96.84,0
100,95.48,0
100,95.49,0
100,95.49,0
100,95.49,0
100,95.5,0
100,95.62,0
100,95.59,0
100,95.59,0
100,95.66,0
100,95.71,0
100,95.75,0
100,95.7,0
100,95.72,0
100,95.75,0
100,95.75,0
100,95.77,0
100,95.77,0
100,95.79,0
100,95.82,0
100,95.82,0
100,95.83,0
100,95.87,0
100,95.89,0
100,95.92,0
100,95.9,0
100,95.91,0
100,95.92,0
100,95.96,0
100,95.98,0
100,95.98,0
100,95.94,0
100,95.99,0
100,96.03,0
100,96.05,0
100,96.07,0
100,96.1,0
100,96.13,0
100,96.14,0
100,96.17,0
100,96.21,0
100,96.23,0
100,96.25,0
100,96.25,0
100,96.27,0
100,96.29,0
100,96.35,0
100,96.36,0
100,96.39,0
100,96.4,0
100,96.41,0
100,96.43,0
100,96.47,0
100,96.52,0
100,96.59,0
100,96.54,0
100,96.55,0
100,96.55,0
100,96.56,0
100,96.57,0
100,96.6,0
100,96.61,0
100,96.63,0
100,96.66,0
100,96.68,0
100,96.71,0
100,96.73,0
100,96.74,0
100,96.76,0
100,96.79,0
100,96.83,0
100,96.87,0
100,96.89,0
100,96.9,0
100,96.91,0
100,96.94,0
100,96.95,0
100,96.95,0
100,96.96,0
100,96.92,0
100,96.92,0
100,96.92,0
100,96.92,0
100,96.95,0
100,97.02,0
100,97.03,0
100,97.04,0
100,97.11,0
100,97.12,0
100,97.14,0
100,97.16,0
100,97.16,0
100,97.17,0
100,97.18,0
100,97.21,0
100,97.2,0
100,97.21,0
100,97.22,0
100,97.24,0
100,97.26,0
100,97.28,0
100,97.29,0
100,97.3,0
100,97.25,0
100,97.25,0
100,97.24,0
100,97.26,0
100,97.26,0
100,97.27,0
100,97.27,0
100,97.3,0
100,97.31,0
100,97.33,0
100,97.37,0
100,97.37,0
100,97.38,0
100,97.39,0
100,97.4,0
100,97.41,0
100,96.8,0
100,96.44,0
100,96.45,0
100,96.45,0
100,96.35,0
100,96.36,0
100,96.37,0
100,96.38,0
100,96.33,0
100,96.34,0
100,96.38,0
100,96.39,0
100,96.43,0
100,96.44,0
100,96.46,0
100,96.47,0
100,96.49,0
100,96.5,0
100,96.51,0
100,96.52,0
100,96.5,0
100,96.51,0
100,96.49,0
100,96.5,0
100,96.5,0
100,96.51,0
100,96.51,0
100,96.52,0
100,96.53,0
100,96.54,0
100,96.55,0
100,96.55,0
100,96.5,0
100,96.51,0
100,96.51,0
100,96.53,0
100,96.53,0
100,96.55,0
100,96.56,0
100,96.59,0
100,96.6,0
100,96.62,0
100,96.62,0
100,96.63,0
100,96.65,0
100,96.67,0
100,96.67,0
100,96.68,0
100,96.69,0
100,96.7,0
100,96.72,0
100,96.73,0
100,96.76,0
100,96.78,0
100,96.81,0
100,96.82,0
100,96.77,0
100,96.77,0
100,96.78,0
100,96.81,0
100,96.82,0
100,96.83,0
100,96.89,0
100,96.91,0
100,96.97,0
100,97.02,0
100,97.44,0
100,97.93,0
100,97.94,0
100,97.94,0
100,97.95,0
100,97.96,0
100,98,0
100,98.05,0
100,98.06,0
100,98.08,0
100,98.13,0
100,98.17,0
100,98.2,0
100,98.21,0
100,97.08,0
100,97.08,0
100,97.08,0
100,97.09,0
100,97.06,0
100,97.08,0
100,97.08,0
100,97.06,0
100,97.07,0
100,97.07,0
100,97.08,0
100,97.16,0
100,97.25,0
100,97.28,0
100,97.28,0
100,97.3,0
100,97.31,0
100,97.32,0
100,97.34,0
100,97.35,0
100,97.35,0
100,97.37,0
100,97.41,0
100,97.43,0
100,97.51,0
100,97.53,0
100,97.59,0
100,97.67,0
100,97.68,0
100,97.7,0
100,97.71,0
100,97.72,0
100,96.87,0
100,96.87,0
100,96.87,0
100,96.88,0
100,96.88,0
100,96.88,0
100,96.89,0
100,96.87,0
100,96.86,0
100,96.87,0
100,96.88,0
100,96.89,0
100,96.9,0
100,96.91,0
100,96.88,0
100,96.86,0
100,96.81,0
100,96.84,0
100,96.86,0
100,96.87,0
100,96.88,0
100,96.9,0
100,96.9,0
100,96.91,0
100,96.92,0
100,96.94,0
100,96.97,0
100,96.97,0
100,96.98,0
100,96.99,0
100,97.02,0
100,97.03,0
100,97.06,0
100,97.08,0
100,97.09,0
100,97.1,0
100,97.12,0
100,97.09,0
100,97.11,0
100,97.12,0
100,97.06,0
100,97.06,0
100,97.07,0
100,97.07,0
100,97.09,0
100,97.1,0
100,97.11,0
100,97.11,0
100,97.16,0
100,97.17,0
100,97.19,0
100,97.2,0
100,97.21,0
100,97.23,0
100,97.25,0
100,97.26,0
100,97.28,0
100,97.29,0
100,97.31,0
100,97.31,0
100,97.32,0
100,97.33,0
100,97.34,0
100,97.35,0
100,97.3,0
100,97.31,0
100,97.31,0
100,97.31,0
100,97.32,0
100,97.34,0
100,97.36,0
100,97.37,0
100,97.38,0
100,97.41,0
100,97.39,0
100,97.39,0
100,97.4,0
100,97.41,0
100,97.42,0
100,97.43,0
100,97.43,0
100,97.44,0
100,97.46,0
100,97.47,0
100,97.48,0
100,97.49,0
100,97.5,0
100,97.51,0
100,97.46,0
100,97.47,0
100,97.47,0
100,97.51,0
100,97.52,0
100,97.52,0
100,97.53,0
100,97.53,0
100,97.54,0
100,97.55,0
100,97.57,0
100,97.58,0
100,97.59,0
100,97.6,0
100,97.61,0
100,97.63,0
100,97.64,0
100,97.64,0
100,97.66,0
100,97.67,0
100,97.68,0
100,97.69,0
100,97.77,0
100,96.65,0
100,96.6,0
100,96.61,0
100,96.63,0
100,96.68,0
100,96.77,0
100,96.85,0
100,96.94,0
100,97.06,0
100,97.12,0
100,97.13,0
100,97.28,0
100,97.5,0
100,96.71,0
100,96.72,0
100,96.73,0
100,96.73,0
100,96.74,0
100,96.59,0
100,96.61,0
100,96.62,0
100,96.62,0
100,96.61,0
100,96.62,0
100,96.64,0
100,96.6,0
100,96.61,0
100,96.62,0
100,96.62,0
100,96.63,0
100,96.63,0
100,96.64,0
100,96.65,0
100,96.66,0
100,96.67,0
100,96.67,0
100,96.68,0
100,96.68,0
100,96.69,0
100,96.7,0
100,96.71,0
100,96.73,0
100,96.74,0
100,96.74,0
100,96.75,0
100,96.75,0
100,96.76,0
100,96.78,0
100,96.79,0
100,96.74,0
100,96.74,0
100,96.74,0
100,96.75,0
100,96.76,0
100,96.8,0
100,96.81,0
100,96.83,0
100,96.86,0
100,96.88,0
100,96.88,0
100,96.89,0
100,96.94,0
100,96.95,0
100,96.96,0
100,96.97,0
100,96.98,0
100,96.99,0
100,97,0
100,97.04,0
100,97.05,0
100,97.06,0
100,97.06,0
100,97.07,0
100,97.01,0
100,97.01,0
100,97.03,0
100,97.04,0
100,97.08,0
100,97.09,0
100,97.11,0
100,97.13,0
100,97.14,0
100,97.15,0
100,97.15,0
100,97.14,0
100,97.14,0
100,97.15,0
100,97.16,0
100,97.19,0
100,97.21,0
100,97.23,0
100,97.25,0
100,97.27,0
100,97.29,0
100,97.31,0
100,97.32,0
100,97.32,0
100,97.28,0
100,97.28,0
100,97.28,0
100,97.29,0
100,97.3,0
100,97.32,0
100,97.34,0
100,97.34,0
100,97.36,0
100,97.36,0
100,97.37,0
100,97.38,0
100,97.38,0
100,97.4,0
100,97.4,0
100,97.41,0
100,97.42,0
100,97.28,0
100,97.28,0
100,97.27,0
100,97.26,0
100,97.28,0
100,97.3,0
100,97.31,0
100,97.25,0
100,97.24,0
100,97.28,0
100,97.29,0
100,97.29,0
100,97.3,0
100,97.31,0
100,97.32,0
100,97.33,0
100,97.34,0
100,97.35,0
100,97.36,0
100,97.37,0
100,97.38,0
100,97.4,0
100,97.41,0
100,97.4,0
100,97.41,0
100,97.41,0
100,97.45,0
100,97.47,0
100,97.47,0
100,97.49,0
100,97.51,0
100,97.46,0
100,97.46,0
100,97.45,0
100,97.44,0
100,97.4,0
100,97.4,0
100,97.41,0
100,97.42,0
100,97.43,0
100,97.44,0
100,97.43,0
100,97.44,0
100,97.45,0
100,97.45,0
100,97.48,0
100,97.49,0
100,97.51,0
100,97.51,0
100,97.52,0
100,97.53,0
100,97.54,0
100,97.55,0
100,97.57,0
100,97.58,0
100,97.53,0
100,97.54,0
100,97.56,0
100,97.57,0
100,97.6,0
100,97.61,0
100,97.62,0
100,97.64,0
100,97.64,0
100,97.66,0
100,97.69,0
100,97.73,0
100,97.74,0
100,97.72,0
100,97.74,0
100,97.75,0
100,97.76,0
100,96.79,0
100,96.79,0
100,96.8,0
100,96.8,0
100,96.77,0
100,96.78,0
100,96.79,0
100,96.77,0
100,96.78,0
100,96.78,0
100,96.79,0
100,96.81,0
100,96.81,0
100,96.82,0
100,96.84,0
100,96.85,0
100,96.86,0
100,96.88,0
100,96.9,0
100,96.91,0
100,96.93,0
100,96.9,0
100,96.9,0
100,96.92,0
100,96.93,0
100,96.97,0
100,96.99,0
100,97,0
100,97.02,0
100,97.03,0
100,97.04,0
100,96.99,0
100,97,0
100,97,0
100,97,0
100,97.02,0
100,97.02,0
100,97.03,0
100,97.04,0
100,97.05,0
100,97.07,0
100,97.08,0
100,97.08,0
100,97.1,0
100,97.11,0
100,97.13,0
100,97.15,0
100,97.15,0
100,97.17,0
100,97.19,0
100,97.2,0
100,97.2,0
100,97.21,0
100,97.21,0
100,97.22,0
100,97.17,0
100,97.13,0
100,97.13,0
100,97.13,0
100,97.16,0
100,97.16,0
100,97.16,0
100,97.17,0
100,97.17,0
100,97.18,0
100,97.19,0
100,97.23,0
100,97.24,0
100,97.25,0
100,97.26,0
100,97.27,0
100,97.29,0
100,97.29,0
100,97.3,0
100,97.31,0
100,97.32,0
100,97.33,0
100,97.33,0
100,97.34,0
100,97.29,0
100,97.29,0
100,97.29,0
100,97.31,0
100,97.32,0
100,97.33,0
100,97.34,0
100,97.35,0
100,97.36,0
100,97.37,0
100,97.38,0
100,97.38,0
100,97.37,0
100,97.38,0
100,97.38,0
100,97.39,0
100,97.4,0
100,97.41,0
100,97.43,0
100,97.44,0
100,97.45,0
100,97.47,0
100,97.48,0
100,97.48,0
100,97.44,0
100,97.44,0
100,97.45,0
100,97.46,0
100,97.46,0
100,97.48,0
100,97.48,0
100,97.49,0
100,97.5,0
100,97.51,0
100,97.52,0
100,97.53,0
100,97.53,0
100,97.54,0
100,97.56,0
100,97.57,0
100,97.58,0
100,97.58,0
100,97.58,0
100,97.6,0
100,97.62,0
100,97.65,0
100,97.67,0
100,97.69,0
100,97.65,0
100,97.66,0
100,97.66,0
100,97.68,0
100,97.68,0
100,97.71,0
100,97.74,0
100,97.75,0
100,97.77,0
100,97.78,0
100,97.8,0
100,97.81,0
100,97.82,0
100,97.83,0
100,97.85,0
100,97.86,0
100,97.88,0
100,97.89,0
100,97.91,0
100,97.97,0
100,98.05,0
100,98.09,0
100,98.11,0
100,98.15,0
100,97.04,0
100,97.04,0
100,97.05,0
100,97.05,0
100,97.05,0
100,97.06,0
100,97.06,0
100,97.09,0
100,97.13,0
100,97.16,0
100,97.11,0
100,97.1,0
100,97.12,0
100,97.13,0
100,97.14,0
100,97.14,0
100,97.15,0
100,97.17,0
100,97.18,0
100,97.2,0
100,97.22,0
100,97.22,0
100,97.23,0
100,97.24,0
100,97.21,0
100,97.21,0
100,97.22,0
100,97.25,0
100,97.26,0
100,97.26,0
100,97.28,0
100,97.27,0
100,97.47,0
100,97.49,0
100,97.51,0
100,97.52,0
100,97.55,0
100,97.57,0
100,97.58,0
100,97.59,0
100,97.6,0
100,97.61,0
100,97.61,0
100,97.63,0
100,97.63,0
100,97.09,0
100,96.81,0
100,96.82,0
100,96.77,0
100,96.78,0
100,96.79,0
100,96.79,0
100,96.82,0
100,96.83,0
100,96.87,0
100,96.9,0
100,96.9,0
100,96.95,0
100,96.97,0
100,96.98,0
100,97,0
100,97.02,0
100,97.04,0
100,97.05,0
100,97.08,0
100,97.09,0
100,97.1,0
100,97.1,0
100,97.11,0
100,97.13,0
100,97.14,0
100,97.19,0
100,97.15,0
100,97.13,0
100,97.14,0
100,97.14,0
100,97.15,0
100,97.17,0
100,97.19,0
100,97.21,0
100,97.24,0
100,97.26,0
100,97.27,0
100,97.29,0
100,97.3,0
100,97.3,0
100,97.32,0
100,97.26,0
100,97.25,0
100,97.26,0
100,97.31,0
100,97.59,0
100,97.61,0
100,97.62,0
100,97.62,0
100,97.66,0
100,97.62,0
100,97.63,0
100,97.63,0
100,97.64,0
100,97.65,0
100,97.69,0
100,97.71,0
100,97.72,0
100,97.73,0
100,97.79,0
100,96.74,0
100,96.46,0
100,96.46,0
100,96.47,0
100,96.49,0
100,96.49,0
100,96.49,0
100,96.52,0
100,96.54,0
100,96.56,0
100,96.56,0
100,96.86,0
100,96.88,0
100,96.89,0
100,96.86,0
100,96.87,0
100,96.13,0
100,95.91,0
100,95.92,0
100,95.92,0
100,95.92,0
100,95.93,0
100,95.94,0
100,95.95,0
